event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
3168,1,2,4,4,0,1.0,56,4
3170,2,3,4,4,0,1.0,56,4
3172,3,4,4,4,0,1.0,56,4
3174,4,5,4,4,0,1.0,56,4
3176,5,6,4,4,0,1.0,56,4
3178,6,7,4,4,0,1.0,56,4
3180,7,8,4,4,0,1.0,56,4
3182,8,9,4,4,0,1.0,56,4
3184,9,10,4,4,0,1.0,56,4
3188,10,11,4,4,0,1.0,56,4
3190,11,12,4,4,0,1.0,56,4
3192,12,13,4,4,0,1.0,56,4
3194,13,14,4,4,0,1.0,56,4
3196,14,15,4,4,0,1.0,56,4
3198,15,16,4,4,0,1.0,56,4
3200,16,17,4,4,0,1.0,56,4
3202,17,18,4,4,0,1.0,56,4
3204,18,19,4,4,0,1.0,56,4
3206,19,20,4,4,0,1.0,56,4
3208,20,21,4,4,0,1.0,56,4
3210,21,22,4,4,0,1.0,56,4
3212,22,23,4,4,0,1.0,56,4
3216,23,24,4,4,0,1.0,56,4
3218,24,25,4,4,0,1.0,56,4
3220,25,26,4,4,0,1.0,56,4
3225,1,2,4,4,0,1.0,56,4
3227,2,3,4,4,0,1.0,56,4
3229,3,4,4,4,0,1.0,56,4
3231,4,5,4,4,0,1.0,56,4
3233,5,6,4,4,0,1.0,56,4
3235,6,7,4,4,0,1.0,56,4
3237,7,8,4,4,0,1.0,56,4
3239,8,9,4,4,0,1.0,56,4
3243,9,10,4,3,1,0.75,56,4
3245,10,11,4,4,0,1.0,56,4
3247,11,12,4,4,0,1.0,56,4
3249,12,13,4,4,0,1.0,56,4
3251,13,14,4,4,0,1.0,56,4
3253,14,15,4,4,0,1.0,56,4
3255,15,16,4,4,0,1.0,56,4
3257,16,17,4,4,0,1.0,56,4
3259,17,18,4,4,0,1.0,56,4
3261,18,19,4,4,0,1.0,56,4
3263,19,20,4,4,0,1.0,56,4
3265,20,21,4,4,0,1.0,56,4
3267,21,22,4,4,0,1.0,56,4
3271,22,23,4,3,1,0.75,56,4
3275,23,24,4,3,1,0.75,56,4
3277,24,25,4,4,0,1.0,56,4
3279,25,26,4,4,0,1.0,56,4
3288,1,2,4,2,2,0.5,56,4
3292,2,3,4,3,1,0.75,56,4
3294,3,4,4,4,0,1.0,56,4
3296,4,5,4,4,0,1.0,56,4
3298,5,6,4,4,0,1.0,56,4
3300,6,7,4,4,0,1.0,56,4
3302,7,8,4,4,0,1.0,56,4
3306,8,9,4,3,1,0.75,56,4
3308,9,10,4,4,0,1.0,56,4
3314,10,11,4,2,2,0.5,56,4
3318,11,12,4,4,0,1.0,56,4
3320,12,13,4,4,0,1.0,56,4
3322,13,14,4,4,0,1.0,56,4
3326,14,15,4,4,0,1.0,56,4
3328,15,16,4,4,0,1.0,56,4
3330,16,17,4,4,0,1.0,56,4
3332,17,18,4,4,0,1.0,56,4
3334,18,19,4,4,0,1.0,56,4
3336,19,20,4,4,0,1.0,56,4
3338,20,21,4,4,0,1.0,56,4
3340,21,22,4,4,0,1.0,56,4
3342,22,23,4,4,0,1.0,56,4
3346,23,24,4,4,0,1.0,56,4
3348,24,25,4,4,0,1.0,56,4
3350,25,26,4,4,0,1.0,56,4
3353,1,2,4,4,0,1.0,56,4
3355,2,3,4,4,0,1.0,56,4
3357,3,4,4,4,0,1.0,56,4
3359,4,5,4,4,0,1.0,56,4
3361,5,6,4,4,0,1.0,56,4
3363,6,7,4,4,0,1.0,56,4
3365,7,8,4,4,0,1.0,56,4
3367,8,9,4,4,0,1.0,56,4
3369,9,10,4,4,0,1.0,56,4
3371,10,11,4,4,0,1.0,56,4
3373,11,12,4,4,0,1.0,56,4
3377,12,13,4,3,1,0.75,56,4
3379,13,14,4,4,0,1.0,56,4
3383,14,15,4,4,0,1.0,56,4
3389,15,16,4,3,1,0.75,56,4
3391,16,17,4,4,0,1.0,56,4
3393,17,18,4,4,0,1.0,56,4
3397,18,19,4,3,1,0.75,56,4
3399,19,20,4,4,0,1.0,56,4
3403,20,21,4,3,1,0.75,56,4
3405,21,22,4,4,0,1.0,56,4
3407,22,23,4,4,0,1.0,56,4
3409,23,24,4,4,0,1.0,56,4
3413,24,25,4,4,0,1.0,56,4
3415,25,26,4,4,0,1.0,56,4
3418,1,2,4,4,0,1.0,56,4
3422,2,3,4,3,1,0.75,56,4
3426,3,4,4,3,1,0.75,56,4
3430,4,5,4,3,1,0.75,56,4
3434,5,6,4,3,1,0.75,56,4
3438,6,7,4,3,1,0.75,56,4
3440,7,8,4,4,0,1.0,56,4
3442,8,9,4,4,0,1.0,56,4
3446,9,10,4,3,1,0.75,56,4
3448,10,11,4,4,0,1.0,56,4
3450,11,12,4,4,0,1.0,56,4
3452,12,13,4,4,0,1.0,56,4
3456,13,14,4,3,1,0.75,56,4
3458,14,15,4,4,0,1.0,56,4
3460,15,16,4,4,0,1.0,56,4
3464,16,17,4,3,1,0.75,56,4
3466,17,18,4,4,0,1.0,56,4
3468,18,19,4,4,0,1.0,56,4
3470,19,20,4,4,0,1.0,56,4
3474,20,21,4,3,1,0.75,56,4
3476,21,22,4,4,0,1.0,56,4
3478,22,23,4,4,0,1.0,56,4
3480,23,24,4,4,0,1.0,56,4
3482,24,25,4,4,0,1.0,56,4
3486,25,26,4,4,0,1.0,56,4
3489,1,2,4,4,0,1.0,56,4
3491,2,3,4,4,0,1.0,56,4
3497,3,4,4,3,1,0.75,56,4
3499,4,5,4,4,0,1.0,56,4
3501,5,6,4,4,0,1.0,56,4
3503,6,7,4,4,0,1.0,56,4
3505,7,8,4,4,0,1.0,56,4
3509,8,9,4,3,1,0.75,56,4
3511,9,10,4,4,0,1.0,56,4
3513,10,11,4,4,0,1.0,56,4
3517,11,12,4,4,0,1.0,56,4
3519,12,13,4,4,0,1.0,56,4
3521,13,14,4,4,0,1.0,56,4
3523,14,15,4,4,0,1.0,56,4
3525,15,16,4,4,0,1.0,56,4
3529,16,17,4,4,0,1.0,56,4
3531,17,18,4,4,0,1.0,56,4
3535,18,19,4,3,1,0.75,56,4
3539,19,20,4,4,0,1.0,56,4
3541,20,21,4,4,0,1.0,56,4
3543,21,22,4,4,0,1.0,56,4
3545,22,23,4,4,0,1.0,56,4
3549,23,24,4,3,1,0.75,56,4
3551,24,25,4,4,0,1.0,56,4
3553,25,26,4,4,0,1.0,56,4
3560,1,2,4,2,2,0.5,56,4
3562,2,3,4,4,0,1.0,56,4
3564,3,4,4,4,0,1.0,56,4
3566,4,5,4,4,0,1.0,56,4
3570,5,6,4,3,1,0.75,56,4
3574,6,7,4,3,1,0.75,56,4
3578,7,8,4,3,1,0.75,56,4
3580,8,9,4,4,0,1.0,56,4
3582,9,10,4,4,0,1.0,56,4
3584,10,11,4,4,0,1.0,56,4
3588,11,12,4,3,1,0.75,56,4
3590,12,13,4,4,0,1.0,56,4
3594,13,14,4,3,1,0.75,56,4
3596,14,15,4,4,0,1.0,56,4
3598,15,16,4,4,0,1.0,56,4
3600,16,17,4,4,0,1.0,56,4
3602,17,18,4,4,0,1.0,56,4
3604,18,19,4,4,0,1.0,56,4
3608,19,20,4,3,1,0.75,56,4
3610,20,21,4,4,0,1.0,56,4
3612,21,22,4,4,0,1.0,56,4
3614,22,23,4,4,0,1.0,56,4
3616,23,24,4,4,0,1.0,56,4
3620,24,25,4,3,1,0.75,56,4
3622,25,26,4,4,0,1.0,56,4
3627,1,2,4,4,0,1.0,56,4
3629,2,3,4,4,0,1.0,56,4
3631,3,4,4,4,0,1.0,56,4
3633,4,5,4,4,0,1.0,56,4
3637,5,6,4,4,0,1.0,56,4
3639,6,7,4,4,0,1.0,56,4
3641,7,8,4,4,0,1.0,56,4
3645,8,9,4,3,1,0.75,56,4
3647,9,10,4,4,0,1.0,56,4
3651,10,11,4,4,0,1.0,56,4
3653,11,12,4,4,0,1.0,56,4
3655,12,13,4,4,0,1.0,56,4
3657,13,14,4,4,0,1.0,56,4
3659,14,15,4,4,0,1.0,56,4
3661,15,16,4,4,0,1.0,56,4
3663,16,17,4,4,0,1.0,56,4
3665,17,18,4,4,0,1.0,56,4
3667,18,19,4,4,0,1.0,56,4
3669,19,20,4,4,0,1.0,56,4
3671,20,21,4,4,0,1.0,56,4
3673,21,22,4,4,0,1.0,56,4
3675,22,23,4,4,0,1.0,56,4
3677,23,24,4,4,0,1.0,56,4
3679,24,25,4,4,0,1.0,56,4
3681,25,26,4,4,0,1.0,56,4
3686,1,2,4,4,0,1.0,56,4
3690,2,3,4,3,1,0.75,56,4
3692,3,4,4,4,0,1.0,56,4
3694,4,5,4,4,0,1.0,56,4
3696,5,6,4,4,0,1.0,56,4
3698,6,7,4,4,0,1.0,56,4
3700,7,8,4,4,0,1.0,56,4
3702,8,9,4,4,0,1.0,56,4
3704,9,10,4,4,0,1.0,56,4
3706,10,11,4,4,0,1.0,56,4
3708,11,12,4,4,0,1.0,56,4
3710,12,13,4,4,0,1.0,56,4
3712,13,14,4,4,0,1.0,56,4
3714,14,15,4,4,0,1.0,56,4
3716,15,16,4,4,0,1.0,56,4
3718,16,17,4,4,0,1.0,56,4
3720,17,18,4,4,0,1.0,56,4
3722,18,19,4,4,0,1.0,56,4
3724,19,20,4,4,0,1.0,56,4
3726,20,21,4,4,0,1.0,56,4
3728,21,22,4,4,0,1.0,56,4
3730,22,23,4,4,0,1.0,56,4
3734,23,24,4,3,1,0.75,56,4
3736,24,25,4,4,0,1.0,56,4
3738,25,26,4,4,0,1.0,56,4
3741,1,2,4,4,0,1.0,56,4
3743,2,3,4,4,0,1.0,56,4
3745,3,4,4,4,0,1.0,56,4
3747,4,5,4,4,0,1.0,56,4
3749,5,6,4,4,0,1.0,56,4
3751,6,7,4,4,0,1.0,56,4
3753,7,8,4,4,0,1.0,56,4
3755,8,9,4,4,0,1.0,56,4
3759,9,10,4,3,1,0.75,56,4
3761,10,11,4,4,0,1.0,56,4
3763,11,12,4,4,0,1.0,56,4
3765,12,13,4,4,0,1.0,56,4
3767,13,14,4,4,0,1.0,56,4
3769,14,15,4,4,0,1.0,56,4
3771,15,16,4,4,0,1.0,56,4
3777,16,17,4,3,1,0.75,56,4
3779,17,18,4,4,0,1.0,56,4
3781,18,19,4,4,0,1.0,56,4
3783,19,20,4,4,0,1.0,56,4
3785,20,21,4,4,0,1.0,56,4
3787,21,22,4,4,0,1.0,56,4
3789,22,23,4,4,0,1.0,56,4
3791,23,24,4,4,0,1.0,56,4
3793,24,25,4,4,0,1.0,56,4
3795,25,26,4,4,0,1.0,56,4
3798,1,2,4,4,0,1.0,56,4
3800,2,3,4,4,0,1.0,56,4
3802,3,4,4,4,0,1.0,56,4
3804,4,5,4,4,0,1.0,56,4
3806,5,6,4,4,0,1.0,56,4
3808,6,7,4,4,0,1.0,56,4
3810,7,8,4,4,0,1.0,56,4
3814,8,9,4,3,1,0.75,56,4
3818,9,10,4,3,1,0.75,56,4
3820,10,11,4,4,0,1.0,56,4
3824,11,12,4,3,1,0.75,56,4
3826,12,13,4,4,0,1.0,56,4
3828,13,14,4,4,0,1.0,56,4
3830,14,15,4,4,0,1.0,56,4
3834,15,16,4,3,1,0.75,56,4
3838,16,17,4,3,1,0.75,56,4
3840,17,18,4,4,0,1.0,56,4
3842,18,19,4,4,0,1.0,56,4
3844,19,20,4,4,0,1.0,56,4
3846,20,21,4,4,0,1.0,56,4
3848,21,22,4,4,0,1.0,56,4
3850,22,23,4,4,0,1.0,56,4
3852,23,24,4,4,0,1.0,56,4
3854,24,25,4,4,0,1.0,56,4
3860,25,26,4,3,1,0.75,56,4
3865,1,2,4,3,1,0.75,56,4
3867,2,3,4,4,0,1.0,56,4
3871,3,4,4,4,0,1.0,56,4
3873,4,5,4,4,0,1.0,56,4
3875,5,6,4,4,0,1.0,56,4
3877,6,7,4,4,0,1.0,56,4
3879,7,8,4,4,0,1.0,56,4
3881,8,9,4,4,0,1.0,56,4
3883,9,10,4,4,0,1.0,56,4
3885,10,11,4,4,0,1.0,56,4
3889,11,12,4,3,1,0.75,56,4
3891,12,13,4,4,0,1.0,56,4
3893,13,14,4,4,0,1.0,56,4
3895,14,15,4,4,0,1.0,56,4
3897,15,16,4,4,0,1.0,56,4
3899,16,17,4,4,0,1.0,56,4
3903,17,18,4,4,0,1.0,56,4
3905,18,19,4,4,0,1.0,56,4
3907,19,20,4,4,0,1.0,56,4
3911,20,21,4,3,1,0.75,56,4
3913,21,22,4,4,0,1.0,56,4
3915,22,23,4,4,0,1.0,56,4
3917,23,24,4,4,0,1.0,56,4
3921,24,25,4,3,1,0.75,56,4
3923,25,26,4,4,0,1.0,56,4
3926,1,2,4,4,0,1.0,56,4
3928,2,3,4,4,0,1.0,56,4
3930,3,4,4,4,0,1.0,56,4
3932,4,5,4,4,0,1.0,56,4
3934,5,6,4,4,0,1.0,56,4
3936,6,7,4,4,0,1.0,56,4
3938,7,8,4,4,0,1.0,56,4
3940,8,9,4,4,0,1.0,56,4
3942,9,10,4,4,0,1.0,56,4
3944,10,11,4,4,0,1.0,56,4
3946,11,12,4,4,0,1.0,56,4
3948,12,13,4,4,0,1.0,56,4
3950,13,14,4,4,0,1.0,56,4
3952,14,15,4,4,0,1.0,56,4
3956,15,16,4,3,1,0.75,56,4
3958,16,17,4,4,0,1.0,56,4
3960,17,18,4,4,0,1.0,56,4
3962,18,19,4,4,0,1.0,56,4
3964,19,20,4,4,0,1.0,56,4
3968,20,21,4,3,1,0.75,56,4
3970,21,22,4,4,0,1.0,56,4
3972,22,23,4,4,0,1.0,56,4
3974,23,24,4,4,0,1.0,56,4
3978,24,25,4,4,0,1.0,56,4
3980,25,26,4,4,0,1.0,56,4
3985,1,2,4,4,0,1.0,56,4
3987,2,3,4,4,0,1.0,56,4
3989,3,4,4,4,0,1.0,56,4
3991,4,5,4,4,0,1.0,56,4
3993,5,6,4,4,0,1.0,56,4
3997,6,7,4,3,1,0.75,56,4
3999,7,8,4,4,0,1.0,56,4
4003,8,9,4,4,0,1.0,56,4
4005,9,10,4,4,0,1.0,56,4
4007,10,11,4,4,0,1.0,56,4
4011,11,12,4,3,1,0.75,56,4
4013,12,13,4,4,0,1.0,56,4
4019,13,14,4,3,1,0.75,56,4
4021,14,15,4,4,0,1.0,56,4
4023,15,16,4,4,0,1.0,56,4
4025,16,17,4,4,0,1.0,56,4
4029,17,18,4,3,1,0.75,56,4
4031,18,19,4,4,0,1.0,56,4
4035,19,20,4,4,0,1.0,56,4
4037,20,21,4,4,0,1.0,56,4
4039,21,22,4,4,0,1.0,56,4
4041,22,23,4,4,0,1.0,56,4
4043,23,24,4,4,0,1.0,56,4
4045,24,25,4,4,0,1.0,56,4
4047,25,26,4,4,0,1.0,56,4
4052,1,2,4,3,1,0.75,56,4
4054,2,3,4,4,0,1.0,56,4
4058,3,4,4,4,0,1.0,56,4
4060,4,5,4,4,0,1.0,56,4
4062,5,6,4,4,0,1.0,56,4
4064,6,7,4,4,0,1.0,56,4
4066,7,8,4,4,0,1.0,56,4
4068,8,9,4,4,0,1.0,56,4
4070,9,10,4,4,0,1.0,56,4
4072,10,11,4,4,0,1.0,56,4
4074,11,12,4,4,0,1.0,56,4
4076,12,13,4,4,0,1.0,56,4
4078,13,14,4,4,0,1.0,56,4
4080,14,15,4,4,0,1.0,56,4
4082,15,16,4,4,0,1.0,56,4
4084,16,17,4,4,0,1.0,56,4
4086,17,18,4,4,0,1.0,56,4
4088,18,19,4,4,0,1.0,56,4
4090,19,20,4,4,0,1.0,56,4
4094,20,21,4,4,0,1.0,56,4
4096,21,22,4,4,0,1.0,56,4
4098,22,23,4,4,0,1.0,56,4
4100,23,24,4,4,0,1.0,56,4
4102,24,25,4,4,0,1.0,56,4
4104,25,26,4,4,0,1.0,56,4
4107,1,2,4,4,0,1.0,56,4
4113,2,3,4,4,0,1.0,56,4
4115,3,4,4,4,0,1.0,56,4
