event_id,stage,layer_idx,selected_expert_count,resident_hit_expert_count,resident_miss_expert_count,resident_hit_expert_ratio,assignment_count,resident_hit_assignment_count,resident_miss_assignment_count,resident_hit_assignment_ratio,gpu_assignment_count,cpu_assignment_count,gpu_assignment_ratio,cpu_assignment_ratio,cache_load_size,prefetch_size
3167,decode,1,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3169,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3171,decode,3,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3173,decode,4,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3175,decode,5,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3177,decode,6,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3179,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3181,decode,8,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3183,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3185,decode,10,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3189,decode,11,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3191,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3193,decode,13,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3195,decode,14,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3197,decode,15,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3199,decode,16,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3201,decode,17,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3203,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3205,decode,19,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3207,decode,20,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3209,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3211,decode,22,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3213,decode,23,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3217,decode,24,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3219,decode,25,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3221,decode,26,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3222,decode,1,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3226,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3228,decode,3,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3230,decode,4,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3232,decode,5,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3234,decode,6,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3236,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3238,decode,8,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3240,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3244,decode,10,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3246,decode,11,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3248,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3250,decode,13,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3252,decode,14,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3254,decode,15,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3256,decode,16,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3258,decode,17,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3260,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3262,decode,19,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3264,decode,20,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3266,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3268,decode,22,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3272,decode,23,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3276,decode,24,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3278,decode,25,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3280,decode,26,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3281,decode,1,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3289,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3293,decode,3,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3295,decode,4,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3297,decode,5,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3299,decode,6,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3301,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3303,decode,8,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3307,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3309,decode,10,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3315,decode,11,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3319,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3321,decode,13,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3323,decode,14,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3327,decode,15,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3329,decode,16,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3331,decode,17,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3333,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3335,decode,19,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3337,decode,20,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3339,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3341,decode,22,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3343,decode,23,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3347,decode,24,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3349,decode,25,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3351,decode,26,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3352,decode,1,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3354,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3356,decode,3,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3358,decode,4,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3360,decode,5,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3362,decode,6,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3364,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3366,decode,8,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3368,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3372,decode,10,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3374,decode,11,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3376,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3380,decode,13,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3382,decode,14,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3384,decode,15,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3388,decode,16,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3390,decode,17,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3392,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3396,decode,19,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3398,decode,20,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3402,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3404,decode,22,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3406,decode,23,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3408,decode,24,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3410,decode,25,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3412,decode,26,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3413,decode,1,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3415,decode,2,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3419,decode,3,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3423,decode,4,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3427,decode,5,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3431,decode,6,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3435,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3437,decode,8,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3439,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3441,decode,10,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3445,decode,11,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3447,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3449,decode,13,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3455,decode,14,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3457,decode,15,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3461,decode,16,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3465,decode,17,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3467,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3471,decode,19,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3473,decode,20,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3477,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3479,decode,22,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3481,decode,23,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3483,decode,24,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3485,decode,25,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3491,decode,26,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3492,decode,1,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3494,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3496,decode,3,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3502,decode,4,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3504,decode,5,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3506,decode,6,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3508,decode,7,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3510,decode,8,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3514,decode,9,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3516,decode,10,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3518,decode,11,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3520,decode,12,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3522,decode,13,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3524,decode,14,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3526,decode,15,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3528,decode,16,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3530,decode,17,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3532,decode,18,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3536,decode,19,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3540,decode,20,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3542,decode,21,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3544,decode,22,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3546,decode,23,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3550,decode,24,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3552,decode,25,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3554,decode,26,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,56,8
3557,decode,1,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
3565,decode,2,6,6,0,1.0,6,6,0,1.0,5,1,0.8333333333333334,0.16666666666666666,56,8
3567,decode,3,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,56,8
