prefetch_event_id,placement_event_id,target_layer_idx,stage,prefetch_candidate_count,issued_load_count,selected_expert_count,candidate_overlap_count,issued_overlap_count,candidate_overlap_ratio,issued_overlap_ratio,placement_assignment_count,candidate_overlap_assignment_count,issued_overlap_assignment_count,candidate_overlap_assignment_ratio,issued_overlap_assignment_ratio
3168,3169,2,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3170,3171,3,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3172,3173,4,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3174,3175,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3176,3177,6,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3178,3179,7,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3180,3181,8,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3182,3183,9,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3184,3185,10,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3188,3189,11,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3190,3191,12,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3192,3193,13,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3194,3195,14,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3196,3197,15,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3198,3199,16,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3200,3201,17,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3202,3203,18,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3204,3205,19,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3206,3207,20,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3208,3209,21,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3210,3211,22,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3212,3213,23,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3216,3217,24,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3218,3219,25,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3220,3221,26,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3225,3226,2,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3227,3228,3,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3229,3230,4,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3231,3232,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3233,3234,6,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3235,3236,7,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3237,3238,8,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3239,3240,9,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3243,3244,10,decode,8,1,6,2,1,0.25,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3245,3246,11,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3247,3248,12,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3249,3250,13,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3251,3252,14,decode,8,0,6,4,0,0.5,0.0,6,4,0,0.6666666666666666,0.0
3253,3254,15,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3255,3256,16,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3257,3258,17,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3259,3260,18,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3261,3262,19,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3263,3264,20,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3265,3266,21,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3267,3268,22,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3271,3272,23,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3275,3276,24,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3277,3278,25,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3279,3280,26,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3288,3289,2,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3292,3293,3,decode,8,1,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3294,3295,4,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3296,3297,5,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3298,3299,6,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3300,3301,7,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3302,3303,8,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3306,3307,9,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3308,3309,10,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3314,3315,11,decode,8,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3318,3319,12,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3320,3321,13,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3322,3323,14,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3326,3327,15,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3328,3329,16,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3330,3331,17,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3332,3333,18,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3334,3335,19,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3336,3337,20,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3338,3339,21,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3340,3341,22,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3342,3343,23,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3346,3347,24,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3348,3349,25,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3350,3351,26,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3353,3354,2,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3355,3356,3,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3357,3358,4,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3359,3360,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3361,3362,6,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3363,3364,7,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3365,3366,8,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3367,3368,9,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3371,3372,10,decode,8,1,6,3,1,0.375,1.0,6,3,1,0.5,0.16666666666666666
3373,3374,11,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
