event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
3031,1,2,8,8,0,1.0,32,8
3033,2,3,8,8,0,1.0,32,8
3035,3,4,8,8,0,1.0,32,8
3037,4,5,8,8,0,1.0,32,8
3039,5,6,8,8,0,1.0,32,8
3041,6,7,8,8,0,1.0,32,8
3045,7,8,8,7,1,0.875,32,8
3047,8,9,8,8,0,1.0,32,8
3049,9,10,8,8,0,1.0,32,8
3055,10,11,8,8,0,1.0,32,8
3057,11,12,8,8,0,1.0,32,8
3061,12,13,8,7,1,0.875,32,8
3065,13,14,8,7,1,0.875,32,8
3069,14,15,8,8,0,1.0,32,8
3071,15,16,8,8,0,1.0,32,8
3075,16,17,8,7,1,0.875,32,8
3077,17,18,8,8,0,1.0,32,8
3081,18,19,8,7,1,0.875,32,8
3085,19,20,8,7,1,0.875,32,8
3087,20,21,8,8,0,1.0,32,8
3089,21,22,8,8,0,1.0,32,8
3091,22,23,8,8,0,1.0,32,8
3097,23,24,8,8,0,1.0,32,8
3101,24,25,8,8,0,1.0,32,8
3103,25,26,8,8,0,1.0,32,8
3114,1,2,8,7,1,0.875,32,8
3118,2,3,8,7,1,0.875,32,8
3126,3,4,8,7,1,0.875,32,8
3130,4,5,8,8,0,1.0,32,8
3134,5,6,8,7,1,0.875,32,8
3140,6,7,8,6,2,0.75,32,8
3144,7,8,8,7,1,0.875,32,8
3148,8,9,8,7,1,0.875,32,8
3156,9,10,8,5,3,0.625,32,8
3162,10,11,8,6,2,0.75,32,8
3164,11,12,8,8,0,1.0,32,8
3166,12,13,8,8,0,1.0,32,8
3172,13,14,8,6,2,0.75,32,8
3180,14,15,8,6,2,0.75,32,8
3184,15,16,8,7,1,0.875,32,8
3188,16,17,8,7,1,0.875,32,8
3190,17,18,8,8,0,1.0,32,8
3194,18,19,8,7,1,0.875,32,8
3196,19,20,8,8,0,1.0,32,8
3198,20,21,8,8,0,1.0,32,8
3204,21,22,8,6,2,0.75,32,8
3212,22,23,8,5,3,0.625,32,8
3216,23,24,8,7,1,0.875,32,8
3222,24,25,8,6,2,0.75,32,8
3228,25,26,8,6,2,0.75,32,8
3247,1,2,8,5,3,0.625,32,8
3251,2,3,8,7,1,0.875,32,8
3253,3,4,8,8,0,1.0,32,8
3255,4,5,8,8,0,1.0,32,8
3257,5,6,8,8,0,1.0,32,8
3263,6,7,8,7,1,0.875,32,8
3271,7,8,8,6,2,0.75,32,8
3275,8,9,8,7,1,0.875,32,8
3279,9,10,8,7,1,0.875,32,8
3287,10,11,8,6,2,0.75,32,8
3291,11,12,8,8,0,1.0,32,8
3293,12,13,8,8,0,1.0,32,8
3299,13,14,8,7,1,0.875,32,8
3305,14,15,8,8,0,1.0,32,8
3311,15,16,8,8,0,1.0,32,8
3321,16,17,8,7,1,0.875,32,8
3325,17,18,8,7,1,0.875,32,8
3331,18,19,8,8,0,1.0,32,8
3333,19,20,8,8,0,1.0,32,8
3343,20,21,8,6,2,0.75,32,8
3355,21,22,8,6,2,0.75,32,8
3365,22,23,8,6,2,0.75,32,8
3375,23,24,8,7,1,0.875,32,8
3379,24,25,8,8,0,1.0,32,8
3385,25,26,8,8,0,1.0,32,8
3398,1,2,8,7,1,0.875,32,8
3402,2,3,8,8,0,1.0,32,8
3406,3,4,8,8,0,1.0,32,8
3412,4,5,8,7,1,0.875,32,8
3420,5,6,8,7,1,0.875,32,8
3426,6,7,8,8,0,1.0,32,8
3432,7,8,8,8,0,1.0,32,8
3436,8,9,8,8,0,1.0,32,8
3442,9,10,8,8,0,1.0,32,8
3448,10,11,8,8,0,1.0,32,8
3450,11,12,8,8,0,1.0,32,8
