prefetch_event_id,placement_event_id,target_layer_idx,stage,prefetch_candidate_count,issued_load_count,selected_expert_count,candidate_overlap_count,issued_overlap_count,candidate_overlap_ratio,issued_overlap_ratio,placement_assignment_count,candidate_overlap_assignment_count,issued_overlap_assignment_count,candidate_overlap_assignment_ratio,issued_overlap_assignment_ratio
3120,3121,2,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3122,3123,3,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3124,3125,4,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3126,3127,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3128,3129,6,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3130,3131,7,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3132,3133,8,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3134,3135,9,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3136,3137,10,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3140,3141,11,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3142,3143,12,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3144,3145,13,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3146,3147,14,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3150,3151,15,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3152,3153,16,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3154,3155,17,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3156,3157,18,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3158,3159,19,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3160,3161,20,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3162,3163,21,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3164,3165,22,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3166,3167,23,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3168,3169,24,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3170,3171,25,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3172,3173,26,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3181,3182,2,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3183,3184,3,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3189,3190,4,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3191,3192,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3193,3194,6,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3195,3196,7,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3197,3198,8,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3199,3200,9,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3203,3204,10,decode,8,1,6,2,1,0.25,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3207,3208,11,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3209,3210,12,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3211,3212,13,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3213,3214,14,decode,8,0,6,4,0,0.5,0.0,6,4,0,0.6666666666666666,0.0
3217,3218,15,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3221,3222,16,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3223,3224,17,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3225,3226,18,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3229,3230,19,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3231,3232,20,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3233,3234,21,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3237,3238,22,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3243,3244,23,decode,8,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3247,3248,24,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3253,3254,25,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3257,3258,26,decode,8,1,6,1,1,0.125,1.0,6,1,1,0.16666666666666666,0.16666666666666666
3268,3269,2,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3272,3273,3,decode,8,1,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3274,3275,4,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
