prefetch_event_id,placement_event_id,target_layer_idx,stage,prefetch_candidate_count,issued_load_count,selected_expert_count,candidate_overlap_count,issued_overlap_count,candidate_overlap_ratio,issued_overlap_ratio,placement_assignment_count,candidate_overlap_assignment_count,issued_overlap_assignment_count,candidate_overlap_assignment_ratio,issued_overlap_assignment_ratio
2863,2864,2,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
2869,2870,3,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
2875,2876,4,decode,8,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
2885,2886,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
2893,2894,6,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
2901,2902,7,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
2911,2912,8,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
2921,2922,9,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
2929,2930,10,decode,8,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
2939,2940,11,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
2945,2946,12,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
2957,2958,13,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
2971,2972,14,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
2983,2984,15,decode,8,3,6,1,1,0.125,0.3333333333333333,6,1,1,0.16666666666666666,0.16666666666666666
2989,2990,16,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
2995,2996,17,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3001,3002,18,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3013,3014,19,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3023,3024,20,decode,8,3,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3029,3030,21,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3035,3036,22,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3043,3044,23,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3049,3050,24,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3057,3058,25,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3069,3070,26,decode,8,3,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3094,3095,2,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3108,3109,3,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3124,3125,4,decode,8,4,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3138,3139,5,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3152,3153,6,decode,8,4,6,1,1,0.125,0.25,6,1,1,0.16666666666666666,0.16666666666666666
3168,3169,7,decode,8,5,6,2,2,0.25,0.4,6,2,2,0.3333333333333333,0.3333333333333333
3180,3181,8,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3192,3193,9,decode,8,3,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3208,3209,10,decode,8,5,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3226,3227,11,decode,8,5,6,1,1,0.125,0.2,6,1,1,0.16666666666666666,0.16666666666666666
3234,3235,12,decode,8,2,6,4,2,0.5,1.0,6,4,2,0.6666666666666666,0.3333333333333333
3244,3245,13,decode,8,3,6,2,1,0.25,0.3333333333333333,6,2,1,0.3333333333333333,0.16666666666666666
3258,3259,14,decode,8,4,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3268,3269,15,decode,8,3,6,3,1,0.375,0.3333333333333333,6,3,1,0.5,0.16666666666666666
3278,3279,16,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3292,3293,17,decode,8,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3304,3305,18,decode,8,2,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3314,3315,19,decode,8,4,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3326,3327,20,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3336,3337,21,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3348,3349,22,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3362,3363,23,decode,8,3,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3370,3371,24,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3386,3387,25,decode,8,3,6,2,1,0.25,0.3333333333333333,6,2,1,0.3333333333333333,0.16666666666666666
3396,3397,26,decode,8,3,6,1,1,0.125,0.3333333333333333,6,1,1,0.16666666666666666,0.16666666666666666
3415,3416,2,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3425,3426,3,decode,8,3,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3429,3430,4,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3435,3436,5,decode,8,1,6,3,1,0.375,1.0,6,3,1,0.5,0.16666666666666666
3439,3440,6,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3445,3446,7,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3451,3452,8,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3459,3460,9,decode,8,3,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3467,3468,10,decode,8,1,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3471,3472,11,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3479,3480,12,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3487,3488,13,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3501,3502,14,decode,8,2,6,3,1,0.375,0.5,6,3,1,0.5,0.16666666666666666
3509,3510,15,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3515,3516,16,decode,8,0,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3527,3528,17,decode,8,3,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3539,3540,18,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3553,3554,19,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3565,3566,20,decode,8,3,6,2,1,0.25,0.3333333333333333,6,2,1,0.3333333333333333,0.16666666666666666
3575,3576,21,decode,8,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3587,3588,22,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3597,3598,23,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3609,3610,24,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3617,3618,25,decode,8,1,6,1,1,0.125,1.0,6,1,1,0.16666666666666666,0.16666666666666666
3629,3630,26,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3646,3647,2,decode,8,1,6,2,1,0.25,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3656,3657,3,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3664,3665,4,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3668,3669,5,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3676,3677,6,decode,8,2,6,2,1,0.25,0.5,6,2,1,0.3333333333333333,0.16666666666666666
3682,3683,7,decode,8,0,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3696,3697,8,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3700,3701,9,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3710,3711,10,decode,8,2,6,2,1,0.25,0.5,6,2,1,0.3333333333333333,0.16666666666666666
3716,3717,11,decode,8,1,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3720,3721,12,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3728,3729,13,decode,8,2,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3736,3737,14,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3742,3743,15,decode,8,0,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3748,3749,16,decode,8,1,6,2,0,0.25,0.0,6,2,0,0.3333333333333333,0.0
3758,3759,17,decode,8,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3768,3769,18,decode,8,1,6,3,0,0.375,0.0,6,3,0,0.5,0.0
3778,3779,19,decode,8,3,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3788,3789,20,decode,8,2,6,2,1,0.25,0.5,6,2,1,0.3333333333333333,0.16666666666666666
3796,3797,21,decode,8,1,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3808,3809,22,decode,8,2,6,1,0,0.125,0.0,6,1,0,0.16666666666666666,0.0
3820,3821,23,decode,8,2,6,3,0,0.375,0.0,6,3,0,0.5,0.0
