run,cache_size,prefetch_size,source,events,loaded,evicted,buffered
cache16_prefetch0,16,0,unknown,3752,1298,882,1572
cache16_prefetch4,16,4,unknown,4030,1437,1021,1572
cache16_prefetch4_20260511_180811,16,4,unknown,4030,1437,1021,1572
cache16_prefetch8,16,8,unknown,4414,1629,1213,1572
mechanism_timing_cache16_prefetch8,16,8,demand,2170,1085,1085,0
mechanism_timing_cache16_prefetch8,16,8,demand_prefill,841,403,403,35
mechanism_timing_cache16_prefetch8,16,8,init,416,416,0,0
mechanism_timing_cache16_prefetch8,16,8,prefetch,1454,727,727,0
mechanism_timing_cache16_prefetch8,16,8,prefill_buffer,1536,0,0,1536
cache32_prefetch0,32,0,unknown,3390,1329,497,1564
cache32_prefetch4,32,4,unknown,3470,1369,537,1564
cache32_prefetch8,32,8,unknown,3616,1442,610,1564
cache48_prefetch0,48,0,unknown,3235,1465,217,1553
cache48_prefetch4,48,4,unknown,3325,1510,262,1553
cache48_prefetch8,48,8,unknown,3405,1550,302,1553
mechanism_timing_cache48_prefetch8,48,8,demand,270,135,135,0
mechanism_timing_cache48_prefetch8,48,8,demand_prefill,309,146,146,17
mechanism_timing_cache48_prefetch8,48,8,init,1248,1248,0,0
mechanism_timing_cache48_prefetch8,48,8,prefetch,388,194,194,0
mechanism_timing_cache48_prefetch8,48,8,prefill_buffer,1536,0,0,1536
cache56_prefetch0,56,0,unknown,3191,1551,95,1545
cache56_prefetch4,56,4,unknown,3387,1649,193,1545
cache56_prefetch8,56,8,unknown,3415,1663,207,1545
mechanism_timing_cache56_prefetch8,56,8,demand,76,38,38,0
mechanism_timing_cache56_prefetch8,56,8,demand_prefill,149,70,70,9
mechanism_timing_cache56_prefetch8,56,8,init,1456,1456,0,0
mechanism_timing_cache56_prefetch8,56,8,prefetch,198,99,99,0
mechanism_timing_cache56_prefetch8,56,8,prefill_buffer,1536,0,0,1536
