run,cache_size,prefetch_size,stage,placement_events,decode_events,live_cache_hit_ratio,prefetch_redundant_ratio,prefetch_issued_candidate_ratio,prefetch_issued_used_ratio,prefetch_issued_assignment_coverage,prefetch_issued_unused_ratio,route_drift_ratio,avg_same_layer_jaccard,eviction_damage_miss_ratio,eviction_damage_assignment_ratio,cpu_assignment_ratio,prefetch_wait_late_ratio,expert_wait_late_ratio,prefetch_wait_total_ms,expert_wait_total_ms
cache16_prefetch0,16,0,decode,234,234,0.5028490028490028,0.0,0.0,0.0,0.0,0.0,0.7354270729270729,0.26457292707292707,0.46275071633237824,0.46275071633237824,0.16880341880341881,,,,
cache16_prefetch4,16,4,decode,234,234,0.4985754985754986,0.8522222222222222,0.14777777777777779,0.14285714285714285,0.014074074074074074,0.8571428571428572,0.7399163336663337,0.2600836663336663,0.4971590909090909,0.4971590909090909,0.17094017094017094,,,,
cache16_prefetch4_20260511_180811,16,4,decode,234,234,0.4985754985754986,0.8522222222222222,0.14777777777777779,0.14285714285714285,0.014074074074074074,0.8571428571428572,0.7399163336663337,0.2600836663336663,0.4971590909090909,0.4971590909090909,0.17094017094017094,,,,
cache16_prefetch8,16,8,decode,234,234,0.5213675213675214,0.805,0.195,0.1282051282051282,0.03333333333333333,0.8717948717948718,0.7386384448884449,0.2613615551115551,0.5491071428571429,0.5491071428571429,0.16951566951566951,,,,
mechanism_timing_cache16_prefetch8,16,8,decode,572,572,0.5151515151515151,0.8347727272727272,0.16522727272727272,0.11691884456671252,0.025757575757575757,0.8830811554332875,0.7900250543107686,0.2099749456892314,0.6075721153846154,0.6075721153846154,0.17249417249417248,1.0,0.004929577464788733,611.8036450000006,111.60060800000002
cache32_prefetch0,32,0,decode,234,234,0.7364672364672364,0.0,0.0,0.0,0.0,0.0,0.7420225607725608,0.2579774392274392,0.31351351351351353,0.31351351351351353,0.16666666666666666,,,,
cache32_prefetch4,32,4,decode,234,234,0.7585470085470085,0.9244444444444444,0.07555555555555556,0.1323529411764706,0.006666666666666667,0.8676470588235294,0.725,0.275,0.30973451327433627,0.30973451327433627,0.16666666666666666,,,,
cache32_prefetch8,32,8,decode,234,234,0.7678062678062678,0.9155555555555556,0.08444444444444445,0.13157894736842105,0.014814814814814815,0.868421052631579,0.726221694971695,0.273778305028305,0.3220858895705521,0.3220858895705521,0.16666666666666666,,,,
cache48_prefetch0,48,0,decode,234,234,0.8418803418803419,0.0,0.0,0.0,0.0,0.0,0.7288003663003664,0.2711996336996337,0.23873873873873874,0.23873873873873874,0.16666666666666666,,,,
cache48_prefetch4,48,4,decode,234,234,0.8554131054131054,0.9455555555555556,0.05444444444444444,0.14285714285714285,0.005185185185185185,0.8571428571428572,0.7300532800532801,0.2699467199467199,0.2512315270935961,0.2512315270935961,0.16666666666666666,,,,
cache48_prefetch8,48,8,decode,234,234,0.8589743589743589,0.9488888888888889,0.051111111111111114,0.18478260869565216,0.012592592592592593,0.8152173913043479,0.7465409590409591,0.253459040959041,0.31313131313131315,0.31313131313131315,0.16666666666666666,,,,
mechanism_timing_cache48_prefetch8,48,8,decode,650,650,0.8753846153846154,0.9612,0.0388,0.13917525773195877,0.0072,0.8608247422680413,0.7943611943611943,0.20563880563880563,0.3004115226337449,0.3004115226337449,0.16666666666666666,1.0,0.010769230769230769,693.0896909999996,123.1051289999999
cache56_prefetch0,56,0,decode,234,234,0.9074074074074074,0.0,0.0,0.0,0.0,0.0,0.7418206793206793,0.2581793206793207,0.2230769230769231,0.2230769230769231,0.16666666666666666,,,,
cache56_prefetch4,56,4,decode,702,702,0.9304368471035138,0.9714814814814815,0.02851851851851852,0.23376623376623376,0.0044444444444444444,0.7662337662337663,0.7842695765772689,0.2157304234227311,0.21160409556313994,0.21160409556313994,0.16666666666666666,,,,
cache56_prefetch8,56,8,decode,598,598,0.9358974358974359,0.9784782608695652,0.021521739130434783,0.1717171717171717,0.004927536231884058,0.8282828282828283,0.7855553537371719,0.21444464626282808,0.2391304347826087,0.2391304347826087,0.16666666666666666,,,,
mechanism_timing_cache56_prefetch8,56,8,decode,598,598,0.9358974358974359,0.9784782608695652,0.021521739130434783,0.1717171717171717,0.004927536231884058,0.8282828282828283,0.7855553537371719,0.21444464626282808,0.2391304347826087,0.2391304347826087,0.16666666666666666,1.0,0.0006688963210702341,610.1020510000003,107.21615299999993
