run,policy,cache_size,prefetch_size,stage,draft_mode,draft_fidelity,lookahead_events,accept_prob,assignments,avg_gate_score,cache_hit_assignment_ratio,cache_hit_assignments,cache_miss_assignment_ratio,cache_miss_assignments,cutoff_layer,demand_entries_evicted_by_prefetch,demand_load_ratio,demand_loads,estimated_demand_bytes_mb,estimated_demand_stall_steps,estimated_prefetch_bytes_mb,estimated_total_bytes_mb,eviction_damage_assignment_ratio,eviction_damage_assignments,eviction_damage_experts,evictions,gate_score_samples,gate_score_sum,gate_threshold,late_prefetch_assignments,late_prefetch_experts,placement_events,prefetch_budget_rejected,prefetch_candidates,prefetch_evicted_unused,prefetch_evicted_unused_ratio,prefetch_evictions,prefetch_gate_rejected,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_late_assignment_ratio,prefetch_load_ratio,prefetch_ready,prefetch_ready_redundant,prefetch_redundant_candidate_ratio,prefetch_redundant_pending,prefetch_redundant_resident,prefetch_rejected_candidate_ratio,prefetch_timely_useful_assignment_ratio,prefetch_timely_useful_assignments,prefetch_timely_useful_experts,prefetch_timely_useful_issued_ratio,prefetch_unused,prefetch_unused_issued_ratio,router_events,run_dir,transfer_latency,unique_demands
mechanism_timing_cache16_prefetch8,always,16,8,decode,oracle,1.0,32,0.8,3432,0.0,0.912004662004662,3130,0.087995337995338,302,,50,0.087995337995338,302,302.0,1208,2002.0,2304.0,0.7880794701986755,238,1549,1674,,,,214,214,572,,106656,168,0.08391608391608392,1620,,2002,0.018770627062706272,0.06235431235431235,0.5833333333333334,2002,214,0.9812293729372937,5696,98958,0.0,0.9053030303030303,3107,1803,0.9005994005994006,54,0.026973026973026972,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,budgeted,16,8,decode,oracle,1.0,32,0.8,3432,0.0,0.9003496503496503,3090,0.09965034965034965,342,,49,0.09965034965034965,342,342.0,1368,2001.0,2343.0,0.695906432748538,238,1547,1672,,,,255,255,572,3903,106656,185,0.09245377311344327,1619,,2001,0.01876125112511251,0.0743006993006993,0.583041958041958,2001,255,0.9446444644464447,5675,95077,0.03659428442844284,0.8936480186480187,3067,1785,0.8920539730134932,52,0.025987006496751622,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,cutoff,16,8,decode,oracle,1.0,32,0.8,3432,0.0,0.6812354312354313,2338,0.31876456876456877,1094,12,23,0.31876456876456877,1094,1094.0,4376,904.0,1998.0,0.443327239488117,485,1324,1447,,,,135,135,572,765,48654,96,0.10619469026548672,727,,904,0.018580178402597937,0.039335664335664336,0.2634032634032634,904,135,0.9656965511571505,2519,44466,0.015723270440251572,0.40675990675990675,1396,800,0.8849557522123894,21,0.023230088495575223,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,no_prefetch,16,0,decode,oracle,1.0,32,0.8,3432,0.0,0.4988344988344988,1712,0.5011655011655012,1720,,,0.5011655011655012,1720,1720.0,6880,0.0,1720.0,0.40348837209302324,694,1161,1304,,,,,,572,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,utility_gate,16,8,decode,oracle,1.0,32,0.8,3432,-1.3899453660135555,0.4988344988344988,1712,0.5011655011655012,1720,,,0.5011655011655012,1720,1720.0,6880,0.0,1720.0,0.40348837209302324,694,1161,1304,50082,-69611.24382069088,0.25,,,572,,106656,,0.0,,50082,,0.0,0.0,0.0,,,0.5304342934293429,,56574,0.46956570657065705,0.0,,,0.0,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache48_prefetch8,always,48,8,decode,oracle,1.0,32,0.8,3900,0.0,0.9938461538461538,3876,0.006153846153846154,24,,4,0.006153846153846154,24,24.0,96,1088.0,1112.0,0.0,,4,13,,,,18,18,650,,121632,1,0.0009191176470588235,9,,1088,0.008945014469876349,0.004615384615384616,0.27897435897435896,1088,18,0.9910549855301236,3281,117263,0.0,0.9907692307692307,3864,1086,0.9981617647058824,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,budgeted,48,8,decode,oracle,1.0,32,0.8,3900,0.0,0.9830769230769231,3834,0.016923076923076923,66,,4,0.016923076923076923,66,66.0,264,1088.0,1154.0,0.0,,4,13,,,,60,60,650,3617,121632,1,0.0009191176470588235,9,,1088,0.008945014469876349,0.015384615384615385,0.27897435897435896,1088,60,0.9613177453301762,3312,113615,0.029737240199947383,0.98,3822,1083,0.9954044117647058,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,cutoff,48,8,decode,oracle,1.0,32,0.8,3900,0.0,0.8371794871794872,3265,0.16282051282051282,635,12,4,0.16282051282051282,635,635.0,2540,519.0,1154.0,0.0,,4,13,,,,60,60,650,787,55566,1,0.0019267822736030828,9,,519,0.009340244034121585,0.015384615384615385,0.13307692307692306,519,60,0.9764964186732894,1503,52757,0.014163337292588993,0.44153846153846155,1722,514,0.9903660886319846,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,no_prefetch,48,0,decode,oracle,1.0,32,0.8,3900,0.0,0.7194871794871794,2806,0.2805128205128205,1094,,,0.2805128205128205,1094,1094.0,4376,0.0,1094.0,0.003656307129798903,4,4,13,,,,,,650,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,utility_gate,48,8,decode,oracle,1.0,32,0.8,3900,-0.9972994166238663,0.7194871794871794,2806,0.2805128205128205,1094,,,0.2805128205128205,1094,1094.0,4376,0.0,1094.0,0.003656307129798903,4,4,13,33244,-33154.22180624381,0.25,,,650,,121632,,0.0,,33244,,0.0,0.0,0.0,,,0.7266837674296238,,88388,0.27331623257037624,0.0,,,0.0,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache56_prefetch8,always,56,8,decode,oracle,1.0,32,0.8,3588,0.0,0.9933110367892977,3564,0.006688963210702341,24,,,0.006688963210702341,24,24.0,96,1056.0,1080.0,0.0,,0,,,,,18,18,598,,111648,,0.0,,,1056,0.009458297506448839,0.005016722408026756,0.29431438127090304,1056,18,0.9905417024935511,3185,107407,0.0,0.9902452619843924,3553,1054,0.9981060606060606,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
mechanism_timing_cache56_prefetch8,budgeted,56,8,decode,oracle,1.0,32,0.8,3588,0.0,0.9816053511705686,3522,0.01839464882943144,66,,,0.01839464882943144,66,66.0,264,1056.0,1122.0,0.0,,0,,,,,60,60,598,3579,111648,,0.0,,,1056,0.009458297506448839,0.016722408026755852,0.29431438127090304,1056,60,0.9584855975924333,3220,103793,0.0320561049011178,0.9785395763656634,3511,1051,0.9952651515151515,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
mechanism_timing_cache56_prefetch8,cutoff,56,8,decode,oracle,1.0,32,0.8,3588,0.0,0.8263656633221851,2965,0.17363433667781494,623,12,,0.17363433667781494,623,623.0,2492,499.0,1122.0,0.0,,0,,,,,60,60,598,787,50958,,0.0,,,499,0.009792378036814632,0.016722408026755852,0.13907469342251952,499,60,0.9747635307508143,1443,48229,0.015444091212370972,0.44007803790412486,1579,494,0.9899799599198397,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
mechanism_timing_cache56_prefetch8,no_prefetch,56,0,decode,oracle,1.0,32,0.8,3588,0.0,0.7040133779264214,2526,0.2959866220735786,1062,,,0.2959866220735786,1062,1062.0,4248,0.0,1062.0,0.0,,0,,,,,,,598,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
