run,policy,cache_size,prefetch_size,stage,draft_mode,draft_fidelity,lookahead_events,accept_prob,assignments,avg_gate_score,cache_hit_assignment_ratio,cache_hit_assignments,cache_miss_assignment_ratio,cache_miss_assignments,cutoff_layer,demand_entries_evicted_by_prefetch,demand_load_ratio,demand_loads,estimated_demand_bytes_mb,estimated_demand_stall_steps,estimated_prefetch_bytes_mb,estimated_total_bytes_mb,eviction_damage_assignment_ratio,eviction_damage_assignments,eviction_damage_experts,evictions,gate_score_samples,gate_score_sum,gate_threshold,late_prefetch_assignments,late_prefetch_experts,placement_events,prefetch_budget_rejected,prefetch_candidates,prefetch_evicted_unused,prefetch_evicted_unused_ratio,prefetch_evictions,prefetch_gate_rejected,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_late_assignment_ratio,prefetch_load_ratio,prefetch_ready,prefetch_ready_redundant,prefetch_redundant_candidate_ratio,prefetch_redundant_pending,prefetch_redundant_resident,prefetch_rejected_candidate_ratio,prefetch_timely_useful_assignment_ratio,prefetch_timely_useful_assignments,prefetch_timely_useful_experts,prefetch_timely_useful_issued_ratio,prefetch_unused,prefetch_unused_issued_ratio,router_events,run_dir,transfer_latency,unique_demands
mechanism_timing_cache16_prefetch8,always,16,8,decode,noisy_oracle,0.7,32,0.75,3432,0.0,0.3782051282051282,1298,0.6217948717948718,2134,,757,0.6217948717948718,2134,2134.0,8536,19031.0,21165.0,0.9798500468603561,2091,3359,19413,,,,1336,1336,572,,90739,17444,0.9166097419998949,18656,,19031,0.20973341121237837,0.38927738927738925,5.54516317016317,19031,1336,0.7902665887876217,14697,57011,0.0,0.3782051282051282,1298,1298,0.06820450843360833,16397,0.861594240975251,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,budgeted,16,8,decode,noisy_oracle,0.7,32,0.75,3432,0.0,0.9248251748251748,3174,0.07517482517482517,258,,73,0.07517482517482517,258,258.0,1032,4541.0,4799.0,0.7209302325581395,186,2356,4210,,,,173,173,572,40346,90739,2193,0.48293327460911695,4131,,4541,0.050044633509295895,0.05040792540792541,1.3231351981351982,4541,173,0.5053174489469798,5674,40178,0.4446379175437243,0.9090909090909091,3120,2196,0.48359392204360274,2234,0.4919621228804228,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,no_prefetch,16,0,decode,noisy_oracle,0.7,32,0.75,3432,0.0,0.4988344988344988,1712,0.5011655011655012,1720,,,0.5011655011655012,1720,1720.0,6880,0.0,1720.0,0.40348837209302324,694,1161,1304,,,,,,572,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,utility_gate@-0.5,16,8,decode,noisy_oracle,0.7,32,0.75,3432,-0.8710297365909554,0.5588578088578089,1918,0.44114219114219116,1514,,22,0.44114219114219116,1514,1514.0,6056,1460.0,2974.0,0.42140026420079263,638,1198,1322,45377,-39524.71635728778,,1236,1236,572,717,90739,506,0.34657534246575344,1139,43917,1460,0.016090104585679808,0.36013986013986016,0.4254079254079254,1460,1236,0.4920155611148459,1798,42847,0.4918943342994743,0.479020979020979,1644,722,0.4945205479452055,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,utility_gate@0,16,8,decode,noisy_oracle,0.7,32,0.75,3432,-0.5754113227296137,0.4994172494172494,1714,0.5005827505827506,1718,,,0.5005827505827506,1718,1718.0,6872,177.0,1895.0,0.40162980209545984,690,1145,1302,47734,-27466.684079175382,,177,177,572,146,90739,65,0.3672316384180791,163,47557,177,0.0019506496655241957,0.051573426573426576,0.051573426573426576,177,177,0.4723327345463362,37,42822,0.5257166157881397,0.13374125874125875,459,112,0.632768361581921,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,utility_gate@0.25,16,8,decode,noisy_oracle,0.7,32,0.75,3432,-0.5329622096039492,0.4988344988344988,1712,0.5011655011655012,1720,,,0.5011655011655012,1720,1720.0,6880,33.0,1753.0,0.4029069767441861,693,1160,1304,47964,-25562.999421443823,,33,33,572,,90739,11,0.3333333333333333,32,47931,33,0.0003636804461146806,0.009615384615384616,0.009615384615384616,33,33,0.47140700250168066,8,42767,0.5282293170522047,0.017773892773892772,61,22,0.6666666666666666,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache48_prefetch8,always,48,8,decode,noisy_oracle,0.7,32,0.75,3900,0.0,0.9687179487179487,3778,0.03128205128205128,122,,35,0.03128205128205128,122,122.0,488,6357.0,6479.0,0.7868852459016393,96,2466,5154,,,,77,77,650,,103652,3716,0.5845524618530753,5118,,6357,0.06133022035271871,0.019743589743589744,1.63,6357,77,0.9386697796472813,3043,94252,0.0,0.9607692307692308,3747,1920,0.3020292590844738,4389,0.6904200094384143,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,budgeted,48,8,decode,noisy_oracle,0.7,32,0.75,3900,0.0,0.9643589743589743,3761,0.03564102564102564,139,,25,0.03564102564102564,139,139.0,556,4884.0,5023.0,0.4892086330935252,68,1952,3680,,,,95,95,650,9838,103652,2397,0.4907862407862408,3655,,4884,0.04711920657584996,0.02435897435897436,1.2523076923076923,4884,95,0.857967043568865,3115,85815,0.09491374985528499,0.9507692307692308,3708,1812,0.371007371007371,3038,0.622031122031122,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,no_prefetch,48,0,decode,noisy_oracle,0.7,32,0.75,3900,0.0,0.7194871794871794,2806,0.2805128205128205,1094,,,0.2805128205128205,1094,1094.0,4376,0.0,1094.0,0.003656307129798903,4,4,13,,,,,,650,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,utility_gate@-0.5,48,8,decode,noisy_oracle,0.7,32,0.75,3900,-0.7141498195790924,0.9271794871794872,3616,0.07282051282051281,284,,5,0.07282051282051281,284,284.0,1136,1173.0,1457.0,0.0,,4,15,28303,-20212.582343547052,,257,257,650,725,103652,3,0.0025575447570332483,10,27130,1173,0.011316713618647011,0.0658974358974359,0.3007692307692308,1173,257,0.7199475166904642,2445,72179,0.26873576969088875,0.9069230769230769,3537,1018,0.8678601875532822,106,0.09036658141517477,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
